customer_id,first_name,last_name,email,city,country,signup_date,segment,lifetime_value
CUST-0D40C85A,Rahul,Singh,user3757@email.com,Bangalore,India,2021-07-29,Regular,147.52
CUST-E0086EED,Rohan,Reddy,user7012@email.com,Mumbai,India,2021-03-03,Regular,1795.14
CUST-45A04A03,Tanya,Sharma,user9295@email.com,Hyderabad,India,2024-01-22,Premium,1546.97
CUST-74D0BED5,Rahul,Chopra,user206@email.com,Bangalore,India,2023-05-16,Regular,953.5
CUST-412B9C03,Karan,Verma,user1619@email.com,Kolkata,India,2021-07-18,Regular,395.41
CUST-67469594,Rahul,Chopra,user811@email.com,Ahmedabad,India,2024-01-04,Regular,753.52
CUST-5EFB64C3,Rohan,Nair,user4903@email.com,Surat,India,2023-01-11,Premium,4650.33
CUST-87FF77DA,Priya,Iyer,user3833@email.com,Chennai,India,2021-06-13,Regular,1438.69
CUST-42F4EB75,Amit,Kumar,user7528@email.com,Pune,India,2021-11-30,At-Risk,439.92
CUST-A56D54BF,Rahul,Das,user1269@email.com,Surat,India,2021-12-17,Regular,498.06
CUST-CC370973,Sanjay,Mehta,user4522@email.com,Jaipur,India,2022-03-26,Regular,565.14
CUST-C60D0C30,Priya,Singh,user625@email.com,Pune,India,2023-04-02,Regular,1701.42
CUST-A35384D9,Manish,Das,user5255@email.com,Hyderabad,India,2023-10-20,Regular,500.87
CUST-31B9C837,Sanjay,Patel,user4439@email.com,Bangalore,India,2022-05-21,Regular,1837.64
CUST-0371CE4A,Manish,Mehta,user9660@email.com,Kolkata,India,2023-01-12,Regular,1124.06
CUST-0D147911,Suresh,Joshi,user1589@email.com,Mumbai,India,2021-08-13,Regular,1995.32
CUST-6354CD9F,Riya,Reddy,user1140@email.com,Kolkata,India,2023-02-21,Premium,1219.92
CUST-B40AE615,Rahul,Nair,user288@email.com,Delhi,India,2024-01-05,Regular,989.29
CUST-1A417357,Karan,Verma,user4908@email.com,Kolkata,India,2021-11-20,Regular,1560.34
CUST-3529C9BB,Rahul,Nair,user3027@email.com,Jaipur,India,2021-08-06,Regular,1912.25
CUST-70AADADD,Suresh,Reddy,user3358@email.com,Bangalore,India,2023-02-05,At-Risk,184.3
CUST-D4F3448A,Suresh,Sharma,user9913@email.com,Pune,India,2023-09-28,Regular,1124.82
CUST-33186585,Pooja,Singh,user1049@email.com,Hyderabad,India,2024-03-07,Premium,4680.94
CUST-85C71857,Meera,Banerjee,user1233@email.com,Jaipur,India,2021-09-15,At-Risk,88.54
CUST-A2F542FF,Kavya,Patel,user4442@email.com,Jaipur,India,2024-05-27,Premium,2638.77
CUST-C838AFFE,Kavya,Chopra,user3395@email.com,Chennai,India,2023-03-29,Regular,502.42
CUST-0ADB45D4,Sanjay,Nair,user7497@email.com,Delhi,India,2022-05-23,At-Risk,342.45
CUST-37FA9BFF,Manish,Nair,user3870@email.com,Surat,India,2022-03-28,Regular,742.36
CUST-0299D180,Priya,Singh,user1204@email.com,Mumbai,India,2022-11-08,Premium,3685.28
CUST-838A7229,Meera,Singh,user8934@email.com,Bangalore,India,2024-03-15,Premium,1571.02
CUST-1547474C,Meera,Chopra,user6769@email.com,Hyderabad,India,2021-07-13,Regular,561.69
CUST-5A3A680D,Riya,Mehta,user7751@email.com,Mumbai,India,2021-07-21,Premium,2439.73
CUST-7212DDAD,Sneha,Singh,user3239@email.com,Hyderabad,India,2024-01-04,Premium,3776.96
CUST-458DCACD,Rahul,Joshi,user4192@email.com,Delhi,India,2023-06-27,Regular,901.58
CUST-9133F801,Sneha,Sharma,user8956@email.com,Mumbai,India,2021-07-11,At-Risk,435.19
CUST-6FC543B1,Neha,Mehta,user8056@email.com,Ahmedabad,India,2022-03-14,At-Risk,431.91
CUST-C20FD74D,Neha,Mehta,user135@email.com,Kolkata,India,2022-06-28,At-Risk,456.1
CUST-9CF6F0F8,Pooja,Mehta,user9205@email.com,Ahmedabad,India,2021-11-14,At-Risk,403.31
CUST-48A17AF8,Priya,Reddy,user8983@email.com,Mumbai,India,2022-10-05,Premium,1479.65
